"","School","TotalEnrollment","NumberAmericanIndianorAlaskanNative","NumberAsian","NumberBlack","NumberHispanic","NumberWhite","NumberFreeorReducedPricedMeals","Type","GeozoneOverlap"
"1","Adams Elementary School",572,3,11,25,59,409,87,"Attendance Area",1
"2","Alki Elementary School",380,2,11,20,32,270,56,"Attendance Area",0
"3","Arbor Heights Elementary School",455,2,29,42,55,274,123,"Attendance Area",0
"4","B F Day Elementary School",290,0,19,36,25,174,74,"Attendance Area",0
"5","Bailey Gatzert Elementary School",317,0,38,166,65,18,242,"Attendance Area",0
"6","Beacon Hill International School",423,3,126,22,150,65,255,"Attendance Area",0
"7","Broadview-Thomson K-8 School",624,3,67,137,149,198,353,"Attendance Area",0
"8","Bryant Elementary School",595,3,38,6,31,438,25,"Attendance Area",0
"9","Cascadia Elementary",754,0,97,4,22,516,26,"Attendance Area",0
"10","Catharine Blaine K-8 School",770,3,34,16,46,567,48,"Attendance Area",0
"11","Concord International School",358,2,27,34,230,43,286,"Attendance Area",0
"12","Daniel Bagley Elementary School",427,0,47,18,25,290,53,"Attendance Area",1
"13","Dearborn Park International School",354,1,139,125,28,29,255,"Attendance Area",0
"14","Dunlap Elementary School",302,1,79,134,60,7,236,"Attendance Area",1
"15","Emerson Elementary School",290,1,56,114,60,26,196,"Attendance Area",1
"16","Fairmount Park Elementary School",521,1,25,30,51,333,74,"Attendance Area",1
"17","Frantz Coe Elementary School",560,1,18,14,50,414,47,"Attendance Area",1
"18","Gatewood Elementary School",388,2,9,37,44,247,90,"Attendance Area",0
"19","Genesee Hill Elementary",691,2,17,13,33,533,62,"Attendance Area",0
"20","Graham Hill Elementary School",352,1,55,110,66,71,247,"Attendance Area",1
"21","Green Lake Elementary School",427,1,38,10,22,302,60,"Attendance Area",1
"22","Greenwood Elementary School",360,3,14,20,38,243,49,"Attendance Area",0
"23","Hawthorne Elementary School - Seattle",385,1,63,99,76,104,230,"Attendance Area",1
"24","Hazel Wolf K-8",711,4,37,54,69,483,141,"Choice",0
"25","Highland Park Elementary School",359,8,69,54,109,58,257,"Attendance Area",0
"26","John Hay Elementary School",499,0,79,19,43,278,57,"Attendance Area",1
"27","John Muir Elementary School",400,0,44,195,46,64,269,"Attendance Area",0
"28","John Rogers Elementary School",366,3,35,42,51,172,129,"Attendance Area",1
"29","John Stanford International School",430,4,55,5,68,215,31,"Choice",0
"30","Kimball Elementary School",425,0,129,85,56,97,218,"Attendance Area",0
"31","Lafayette Elementary School",463,2,37,30,33,301,85,"Attendance Area",0
"32","Laurelhurst Elementary School",401,0,53,19,18,265,94,"Attendance Area",0
"33","Lawton Elementary School",443,3,29,12,29,301,31,"Attendance Area",0
"34","Leschi Elementary School",399,1,10,175,38,129,208,"Attendance Area",0
"35","Licton Springs K-8",130,18,5,10,24,48,70,"Choice",0
"36","Louisa Boren STEM K-8",476,1,44,60,59,248,125,"Choice",0
"37","Lowell Elementary School",344,3,74,96,35,93,219,"Attendance Area",0
"38","Loyal Heights Elementary School",411,0,13,8,27,319,30,"Attendance Area",0
"39","Madrona K-5 School",307,0,6,135,34,83,164,"Attendance Area",0
"40","Maple Elementary School",502,3,261,42,88,63,309,"Attendance Area",0
"41","Martin Luther King Jr. Elementary School",293,0,96,116,48,6,175,"Attendance Area",0
"42","McDonald International School",457,0,18,2,58,295,13,"Choice",0
"43","McGilvra Elementary School",282,0,28,18,13,185,24,"Attendance Area",0
"44","Montlake Elementary School",264,0,23,12,10,178,14,"Attendance Area",0
"45","North Beach Elementary School",328,0,13,4,21,241,23,"Attendance Area",0
"46","Northgate Elementary School",281,1,23,65,104,52,203,"Attendance Area",0
"47","Olympic Hills Elementary School",352,1,35,84,97,88,262,"Attendance Area",1
"48","Olympic View Elementary School",494,3,60,71,59,240,181,"Attendance Area",1
"49","Orca K-8 School",372,0,23,91,23,190,119,"Choice",0
"50","Pathfinder K-8 School",490,1,21,24,48,326,79,"Choice",0
"51","Queen Anne Elementary",418,0,24,10,26,296,33,"Choice",0
"52","Rainier View Elementary School",225,2,65,90,26,11,176,"Attendance Area",0
"53","Roxhill Elementary School",300,2,35,76,103,49,233,"Attendance Area",1
"54","Sacajawea Elementary School",265,0,28,25,29,150,67,"Attendance Area",1
"55","Salmon Bay K-8 School",658,3,36,9,41,503,52,"Choice",0
"56","Sand Point Elementary",237,0,34,34,29,87,101,"Attendance Area",0
"57","Sanislo Elementary School",257,4,49,50,60,56,160,"Attendance Area",0
"58","South Shore PK-8 School",619,9,143,296,58,45,404,"Choice",0
"59","Stevens Elementary School",297,2,11,59,30,155,100,"Attendance Area",0
"60","Thornton Creek Elementary School",464,2,23,6,29,341,30,"Choice",0
"61","Thurgood Marshall Elementary",550,2,83,102,40,237,169,"Attendance Area",0
"62","Tops K-8 School",471,2,95,56,23,232,118,"Choice",0
"63","Van Asselt Elementary School",472,1,176,197,45,21,380,"Attendance Area",0
"64","View Ridge Elementary School",571,5,84,13,35,353,45,"Attendance Area",1
"65","Viewlands Elementary School",388,5,36,42,76,178,171,"Attendance Area",0
"66","Wedgwood Elementary School",471,0,62,11,46,262,40,"Attendance Area",1
"67","West Seattle Elementary School",447,2,31,289,50,45,372,"Attendance Area",1
"68","West Woodland Elementary School",545,0,27,12,33,406,26,"Attendance Area",1
"69","Whittier Elementary School",477,1,23,10,20,375,40,"Attendance Area",1
"70","Wing Luke Elementary School",356,0,117,173,22,12,264,"Attendance Area",1
